Michael Pineda, 9.015672015150388, 10.0, SP
Josh Osich, 2.221620152393978, 0.85, RP
Joe Smith, 2.888999854524932, 4.0, RP
Julio Teheran, 14.037103623400132, 9.0, SP
Craig Stammen, 4.347780775030455, 4.5, RP
Kevin Gausman, 5.375218561291695, 9.0, SP
Blake Treinen, 3.026857334375383, 10.0, RP
Rick Porcello, 10.48682167728742, 10.0, SP
Dellin Betances, 26.066398469607034, 10.5, RP
Daniel Hudson, 4.412821577986083, 5.5, RP
Wade Miley, 6.779241308569909, 7.5, SP
Jordan Lyles, 7.150569227337838, 8.0, SP
Jake Diekman, 3.967363728086155, 3.75, RP
Jake Odorizzi, 16.398203667998313, 17.8, SP
Stephen Strasburg, 32.00849148929119, 35.0, SP
Zack Wheeler, 19.494050086537996, 23.6, SP
Madison Bumgarner, 20.151115711281694, 17.0, SP
Hyun-Jin Ryu, 19.668712396919727, 20.0, SP
Dallas Keuchel, 6.186743262410165, 18.5, SP
Will Smith, 9.644860673944157, 13.0, RP
Drew Pomeranz, 3.321568692723911, 8.5, SP
Kyle Gibson, 10.62694741388162, 10.0, SP
Will Harris, 7.672282366951308, 8.0, RP
Tanner Roark, 9.448743009567261, 12.0, SP
Gerrit Cole, 43.48198317885398, 36.0, SP
Jeremy Jeffress, 2.1983830998341256, 0.8, RP
Homer Bailey, 4.591152446468673, 7.0, SP
Martin Perez, 3.3056214590867374, 6.0, SP
Tommy Hunter, 6.1149319042762125, 0.85, RP
Ivan Nova, 5.8100798080364875, 1.5, SP
Yoshihisa Hirano, 2.0829636504252766, 1.6, RP
Alex Claudio, 2.130004316568376, 1.75, RP
Tyler Anderson, 2.3741951366265632, 1.775, SP
T.J. McFarland, 0.835690123836201, 1.8, RP
Pedro Strop, 2.2801973293224984, 1.825, RP
Taijuan Walker, 2.064789419372878, 2.0, SP
Brad Brach, 1.4790820548931773, 1.05, RP
Junior Guerra, 5.248511163393657, 2.55, RP
Steve Cishek, 5.209388263026875, 6.0, RP
Darren O'Day, 3.052391827106477, 2.75, RP
Michael Wacha, 3.424415116508803, 3.0, SP
Hector Rondon, 3.101090916991235, 3.0, RP
Brandon Kintzler, 2.183121173580489, 3.0, RP
Cole Hamels, 9.212725561857223, 18.0, SP
Alex Wood, 2.2589558194081003, 4.0, SP
Drew Smyly, 3.7355305800835303, 4.0, SP
Adam Wainwright, 3.010859784483911, 5.0, SP
Sergio Romo, 2.848078651229542, 5.0, RP
Gio Gonzalez, 4.573064759373666, 5.0, SP
Brett Anderson, 4.293797472119333, 5.0, SP
Tyler Clippard, 6.846498039364816, 2.75, RP
Rich Hill, 4.879272375504177, 3.0, SP
Anthony Rendon, 17.046269350126387, 35.0, 3B
Marco Hernandez, 1.0544521152973192, 0.65, 3B
Justin Smoak, 2.269061335921289, 5.0, 1B
Todd Frazier, 3.927788987755777, 5.0, 3B
Robinson Chirinos, 5.222609362006188, 5.5, C
Jonathan Schoop, 1.3524863590796805, 6.1, 2B
C.J. Cron, 4.06621604760488, 6.1, 1B
Howie Kendrick, 3.8123735636472715, 6.25, DH
Cesar Hernandez, 5.0826677829027185, 6.25, 2B
Wilmer Flores, 0.6400253057479874, 3.125, 2B
Jason Castro, 1.4676179995139456, 6.85, C
Martin Maldonado, 3.2605783482392643, 3.5, C
Edwin Encarnacion, 3.420507556200029, 12.0, DH
Starlin Castro, 5.918137989441555, 6.0, 2B
Brett Gardner, 9.382442287604015, 12.5, LF
Didi Gregorius, 1.0334833194812154, 14.0, SS
Travis d'Arnaud, 3.3202876408894872, 8.0, C
Kole Calhoun, 6.582452425360681, 8.0, RF
Matt Joyce, 1.9217081060012198, 8.75, RF
Corey Dickerson, 7.153505683938663, 8.75, LF
Marcell Ozuna, 11.776671811938286, 18.0, LF
Avisail Garcia, 10.682802481452626, 10.0, RF
Jose Abreu, 13.35458828881383, 16.666666666666664, 1B
Mike Moustakas, 3.4233222474654528, 16.0, 2B
Nicholas Castellanos, 13.034398037195206, 16.0, RF
Yasmani Grandal, 11.567124739289284, 18.25, C
Josh Donaldson, 11.696891365448634, 23.0, 3B
Eric Sogard, -0.3741893688837669, 4.5, 2B
Jesse Hahn, -1.6467739840348543, 0.6, RP
Alex Avila, 2.2859665910402946, 4.25, C
Tyler Flowers, 2.989978538950286, 4.0, C
J.T. Riddle, 0.49978786706924605, 0.85, SS
Kevin Plawecki, 1.8948221186796839, 0.9, C
Luke Maile, 1.6471323062976218, 0.9, C
Steven Souza Jr., 1.2701256950696325, 1.0, RF
Hernan Perez, 0.24071752429008655, 1.0, 2B
Jason Kipnis, 0.6102501591046667, 1.0, 2B
Guillermo Heredia, 1.0060589482386924, 1.0, CF
Adeiny Hechavarria, -0.15769865314165576, 1.0, 2B
Domingo Santana, 7.815347579121591, 1.5, LF
Cameron Maybin, 0.8770259330670055, 1.5, LF
Matt Wieters, 1.4114892115195607, 2.0, C
Brad Miller, 2.165189466873806, 2.0, 3B
Francisco Cervelli, 1.752998711665473, 2.0, C
Asdrubal Cabrera, 2.227433692415557, 2.5, 2B
Stephen Vogt, 0.7748195320367829, 3.0, C
Jose Peraza, 1.7827426622311289, 3.0, 2B
Hunter Pence, 2.5533461600542084, 3.0, RF
Mitch Moreland, 1.7489703923463837, 3.0, 1B
Jose Iglesias, 2.3104816764593137, 3.0, SS
Maikel Franco, 2.7538141677776986, 3.0, 3B
Brock Holt, -0.19867218534151537, 3.25, 2B
Eric Thames, 1.9719619681437826, 4.0, 1B
Travis Shaw, 0.7176079382499075, 4.0, 2B
Kevin Pillar, 3.713216327627501, 4.0, CF
Alex Gordon, 3.132722733418148, 4.0, LF
Austin Romine, 2.2013064742088333, 4.15, C
Yimi Garcia, 3.805621122320494, 0.5835, RP
